#	NAME	MIRIAM	SHORT NAME	COMPARTMENT
	G_b2551	asap/ABE-0008389;ecogene/EG10408;ncbigene/947022;ncbigi/16130476;refseq_locus_tag/b2551;refseq_name/glyA;refseq_synonym/ECK2548;refseq_synonym/JW2535;uniprot/P0A825	G_b2551		
	G_b0870	asap/ABE-0002954;ecogene/EG13690;ncbigene/944955;ncbigi/16128838;refseq_locus_tag/b0870;refseq_name/ltaE;refseq_synonym/ltaA;refseq_synonym/JW0854;refseq_synonym/ECK0861;refseq_synonym/ybjU;uniprot/P75823	G_b0870		
	G_b3368	asap/ABE-0011010;ecogene/EG10188;ncbigene/947880;ncbigi/16131246;refseq_locus_tag/b3368;refseq_name/cysG;refseq_synonym/JW3331;refseq_synonym/ECK3356;uniprot/P0AEA8	G_b3368		
	G_b2436	asap/ABE-0008034;ecogene/EG12189;ncbigene/946908;ncbigi/16130361;refseq_locus_tag/b2436;refseq_name/hemF;refseq_synonym/JW2429;refseq_synonym/ECK2431;refseq_synonym/sec;refseq_synonym/popB;uniprot/P36553	G_b2436		
	G_b0008	asap/ABE-0000027;ecogene/EG11556;ncbigene/944748;ncbigi/16128002;refseq_locus_tag/b0008;refseq_name/talB;refseq_synonym/yaaK;refseq_synonym/JW0007;refseq_synonym/ECK0008;uniprot/P0A870	G_b0008		
	G_b3500	asap/ABE-0011432;ecogene/EG10412;ncbigene/948014;ncbigi/16131372;refseq_locus_tag/b3500;refseq_name/gor;refseq_synonym/ECK3485;refseq_synonym/gorA;refseq_synonym/JW3467;uniprot/P06715	G_b3500		
	G_b2465	asap/ABE-0008117;ecogene/EG12100;ncbigene/945865;ncbigi/16130390;refseq_locus_tag/b2465;refseq_name/tktB;refseq_synonym/JW2449;refseq_synonym/ECK2460;uniprot/P33570	G_b2465		
	G_b0945	asap/ABE-0003201;ecogene/EG10807;ncbigene/945556;ncbigi/16128912;refseq_locus_tag/b0945;refseq_name/pyrD;refseq_synonym/JW0928;refseq_synonym/ECK0936;uniprot/P0A7E1	G_b0945		
	G_b4467	asap/ABE-0174097;ecogene/EG13291;ncbigene/2847717;ncbigi/49176294;refseq_locus_tag/b4467;refseq_name/glcF;refseq_synonym/ECK2972;refseq_synonym/yghL;refseq_synonym/gox;refseq_synonym/JW5486;uniprot/P52074	G_b4467		
	G_b3126	asap/ABE-0010276;ecogene/EG10016;ncbigene/947630;ncbigi/16131018;refseq_locus_tag/b3126;refseq_name/garL;refseq_synonym/ECK3114;refseq_synonym/JW3095;refseq_synonym/yhaF;uniprot/P23522	G_b3126		
	G_b4468	asap/ABE-0174098;ecogene/EG12996;ncbigene/2847718;ncbigi/49176295;refseq_locus_tag/b4468;refseq_name/glcE;refseq_synonym/ECK2973;refseq_synonym/yghL;refseq_synonym/gox;refseq_synonym/JW5487;uniprot/P52073	G_b4468		
	G_b2979	asap/ABE-0009773;ecogene/EG12997;ncbigene/947353;ncbigi/16130879;refseq_locus_tag/b2979;refseq_name/glcD;refseq_synonym/yghM;refseq_synonym/ECK2974;refseq_synonym/gox;refseq_synonym/JW2946;uniprot/P0AEP9	G_b2979		
	G_b3916	asap/ABE-0012789;ecogene/EG10699;ncbigene/948412;ncbigi/16131754;refseq_locus_tag/b3916;refseq_name/pfkA;refseq_synonym/JW3887;refseq_synonym/ECK3908;uniprot/P0A796	G_b3916		
	G_b1095	asap/ABE-0003705;ecogene/EG12606;ncbigene/946665;ncbigi/16129058;refseq_locus_tag/b1095;refseq_name/fabF;refseq_synonym/ECK1081;refseq_synonym/JW1081;refseq_synonym/vtr;refseq_synonym/cvc;refseq_synonym/fabJ;uniprot/P0AAI5	G_b1095		
	G_b1054	asap/ABE-0003574;ecogene/EG10464;ncbigene/946216;ncbigi/16129017;refseq_locus_tag/b1054;refseq_name/lpxL;refseq_synonym/htrB;refseq_synonym/JW1041;refseq_synonym/ECK1039;refseq_synonym/waaM;uniprot/P0ACV0	G_b1054		
	G_b1855	asap/ABE-0006185;ecogene/EG10614;ncbigene/945143;ncbigi/16129808;refseq_locus_tag/b1855;refseq_name/lpxM;refseq_synonym/mlt;refseq_synonym/waaN;refseq_synonym/msbB;refseq_synonym/ECK1856;refseq_synonym/JW1844;uniprot/P24205	G_b1855		
	G_b1260	asap/ABE-0004232;ecogene/EG11024;ncbigene/946204;ncbigi/16129221;refseq_locus_tag/b1260;refseq_name/trpA;refseq_synonym/JW1252;refseq_synonym/try;refseq_synonym/ECK1254;refseq_synonym/tryp;uniprot/P0A877	G_b1260		
	G_b2378	asap/ABE-0007848;ecogene/EG12901;ncbigene/946847;ncbigi/90111426;refseq_locus_tag/b2378;refseq_name/lpxP;refseq_synonym/ECK2374;refseq_synonym/ddg;refseq_synonym/JW2375;uniprot/P0ACV2	G_b2378		
	G_b0109	asap/ABE-0000374;ecogene/EG11546;ncbigene/948869;ncbigi/16128102;refseq_locus_tag/b0109;refseq_name/nadC;refseq_synonym/ECK0108;refseq_synonym/JW0105;uniprot/P30011	G_b0109		
	G_b1094	asap/ABE-0003703;ecogene/EG50003;ncbigene/944805;ncbigi/16129057;refseq_locus_tag/b1094;refseq_name/acpP;refseq_synonym/ECK1080;refseq_synonym/JW1080;uniprot/P0A6A8	G_b1094		
	G_b2836	asap/ABE-0009302;ecogene/EG11679;ncbigene/947315;ncbigi/16130740;refseq_locus_tag/b2836;refseq_name/aas;refseq_synonym/JW2804;refseq_synonym/ECK2832;uniprot/P31119	G_b2836		
	G_b2472	asap/ABE-0008142;ecogene/EG10208;ncbigene/948313;ncbigi/16130397;refseq_locus_tag/b2472;refseq_name/dapE;refseq_synonym/msgB;refseq_synonym/ECK2467;refseq_synonym/JW2456;uniprot/P0AED7	G_b2472		
	G_b2935	asap/ABE-0009625;ecogene/EG11427;ncbigene/947420;ncbigi/49176286;refseq_locus_tag/b2935;refseq_name/tktA;refseq_synonym/JW5478;refseq_synonym/tkt;refseq_synonym/ECK2930;uniprot/P27302	G_b2935		
